fold,accuracy,auc,precision,recall
1,0.8095238095238095,0.8272727272727274,0.875,0.7
2,0.8095238095238095,0.8636363636363635,0.8,0.8
3,0.7,0.7373737373737373,0.8,0.4444444444444444
4,0.6,0.6262626262626263,0.5714285714285714,0.4444444444444444
5,0.75,0.8400000000000001,0.7272727272727273,0.8
