fold,accuracy,auc,precision,recall
1,0.9047619047619048,0.9727272727272727,1.0,0.8
2,0.8095238095238095,0.9454545454545454,0.8,0.8
3,0.55,0.6262626262626262,0.0,0.0
4,0.5,0.6060606060606061,0.42857142857142855,0.3333333333333333
5,0.9,0.9400000000000001,0.9,0.9
