fold,accuracy,auc,precision,recall
1,0.7142857142857143,0.8,0.75,0.6
2,0.8571428571428571,0.8909090909090909,0.8181818181818182,0.9
3,0.85,0.7878787878787878,0.8,0.8888888888888888
4,0.5,0.7373737373737373,0.46153846153846156,0.6666666666666666
5,0.7,0.8900000000000001,0.6666666666666666,0.8
