fold,accuracy,auc,precision,recall
1,0.9047619047619048,0.9909090909090909,0.9,0.9
2,0.8571428571428571,0.9818181818181817,0.7692307692307693,1.0
3,0.8,0.9292929292929293,0.7777777777777778,0.7777777777777778
4,0.7,0.8282828282828283,0.8,0.4444444444444444
5,0.75,0.92,0.7777777777777778,0.7
