accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0.4146341383457184,0.40729668736457825,0.7363441586494446,0.4000000059604645,0.5263158082962036,0.550000011920929,0.5,0.6944972276687622,0.5454545617103577,0.6000000238418579
0.5487805008888245,0.6154305934906006,0.6786913871765137,0.5098039507865906,0.6842105388641357,0.5,0.5249999761581421,0.693977952003479,0.5,0.8999999761581421
0.5853658318519592,0.58702152967453,0.684279203414917,0.5384615659713745,0.7368420958518982,0.550000011920929,0.5799999833106995,0.6903185248374939,0.529411792755127,0.8999999761581421
0.5,0.6235047578811646,0.6725881695747375,0.4727272689342499,0.6842105388641357,0.6000000238418579,0.6399999856948853,0.683031439781189,0.5833333134651184,0.699999988079071
0.6463414430618286,0.7269736528396606,0.6449217200279236,0.5918367505073547,0.7631579041481018,0.6000000238418579,0.6299999952316284,0.6794814467430115,0.6000000238418579,0.6000000238418579
0.6463414430618286,0.7272727489471436,0.640516996383667,0.604651153087616,0.6842105388641357,0.6499999761581421,0.6499999761581421,0.6758261919021606,0.6666666865348816,0.6000000238418579
0.6097561120986938,0.7036483287811279,0.6468617916107178,0.5681818127632141,0.6578947305679321,0.6000000238418579,0.6700000166893005,0.6739276647567749,0.6666666865348816,0.4000000059604645
0.6341463327407837,0.6866028308868408,0.6477606892585754,0.6333333253860474,0.5,0.6499999761581421,0.6650000214576721,0.6732822060585022,0.800000011920929,0.4000000059604645
0.6097561120986938,0.6626794338226318,0.6546118259429932,0.59375,0.5,0.550000011920929,0.6850000023841858,0.66468346118927,0.5714285969734192,0.4000000059604645
0.707317054271698,0.7586722373962402,0.6166109442710876,0.6399999856948853,0.8421052694320679,0.6000000238418579,0.6850000023841858,0.6590861082077026,0.5833333134651184,0.699999988079071
0.6829268336296082,0.7864832878112793,0.601035475730896,0.6200000047683716,0.8157894611358643,0.699999988079071,0.7150000333786011,0.650300145149231,0.75,0.6000000238418579
0.7317073345184326,0.7942583560943604,0.5967898964881897,0.807692289352417,0.5526315569877625,0.6000000238418579,0.7400000095367432,0.6575379371643066,0.75,0.30000001192092896
0.7195122241973877,0.7915669679641724,0.5897156000137329,0.800000011920929,0.5263158082962036,0.6000000238418579,0.7649999856948853,0.6533581018447876,0.75,0.30000001192092896
0.7195122241973877,0.8860645294189453,0.5672822594642639,0.8947368264198303,0.44736841320991516,0.6000000238418579,0.7899999618530273,0.6445068120956421,0.75,0.30000001192092896
0.8292682766914368,0.8770933151245117,0.5487008690834045,0.9285714030265808,0.6842105388641357,0.800000011920929,0.8149999380111694,0.611850380897522,0.875,0.699999988079071
0.8048780560493469,0.9037081599235535,0.5338175892829895,0.761904776096344,0.8421052694320679,0.800000011920929,0.8500000238418579,0.5967988967895508,0.875,0.699999988079071
0.8170731663703918,0.9007176756858826,0.5063171982765198,0.7948718070983887,0.8157894611358643,0.8500000238418579,0.8650000095367432,0.5830458998680115,0.8888888955116272,0.800000011920929
0.8902438879013062,0.9219497442245483,0.48501676321029663,0.8918918967247009,0.8684210777282715,0.800000011920929,0.8799999952316284,0.5648691654205322,0.800000011920929,0.800000011920929
0.8048780560493469,0.9231458902359009,0.480434775352478,0.761904776096344,0.8421052694320679,0.75,0.875,0.5535050630569458,0.7272727489471436,0.800000011920929
0.9146341681480408,0.9554425477981567,0.43851205706596375,0.8780487775802612,0.9473684430122375,0.800000011920929,0.89000004529953,0.5443878769874573,0.75,0.8999999761581421
