fold,accuracy,auc,precision,recall
1,0.8571428571428571,0.9272727272727272,1.0,0.7
2,0.6666666666666666,0.8363636363636364,0.8,0.4
3,0.65,0.6767676767676768,0.625,0.5555555555555556
4,0.7,0.7676767676767677,1.0,0.3333333333333333
5,0.7,0.85,1.0,0.4
