fold,accuracy,auc,precision,recall
1,0.9523809523809523,1.0,0.9090909090909091,1.0
2,0.7142857142857143,0.9636363636363636,1.0,0.4
3,0.85,1.0,1.0,0.6666666666666666
4,1.0,1.0,1.0,1.0
5,0.85,0.9600000000000001,1.0,0.7
