fold,accuracy,auc,precision,recall
1,0.7619047619047619,0.8090909090909091,0.7777777777777778,0.7
2,0.7142857142857143,0.8272727272727273,0.6428571428571429,0.9
3,0.7,0.696969696969697,0.8,0.4444444444444444
4,0.7,0.7070707070707071,0.7142857142857143,0.5555555555555556
5,0.7,0.78,0.7,0.7
