fold,accuracy,auc,precision,recall
1,0.7619047619047619,0.8,1.0,0.5
2,0.7142857142857143,0.8545454545454545,1.0,0.4
3,0.7,0.6262626262626263,0.8,0.4444444444444444
4,0.85,0.8484848484848485,0.8,0.8888888888888888
5,0.65,0.73,1.0,0.3
